year,make,model,veh_class,eng_size,cly,trans,fuel,fuel_cons,hwy_lkm,comb_lkm,comb_mpg,emissions
2000,acura,1.6el,compact,1.6,4,A4,X,9.2,6.7,8.1,35,186
2000,acura,1.6el,compact,1.6,4,M5,,8.5,6.5,7.6,37,175
2000,acura,3.2tl,mid-size,3.2,6,AS5,Z,12.2,7.4,10,28,230
2000,acura,3.5rl,mid-size,3.5,6,A4,Z,13.4,9.2,11.5,25,264
2000,acura,integra,subcompact,1.8,4,A4,X,10,7,8.6,33,198
2000,acura,integra,subcompact,1.8,4,M5,X,9.3,6.8,8.2,34,189
2000,acura,integra gsr/type r,subcompact,1.8,4,M5,Z,9.4,7,8.3,34,191
2000,acura,nsx,subcompact,3,6,AS4,Z,13.6,9.2,11.6,24,267
2000,acura,nsx,subcompact,3.2,6,M6,Z,13.8,9.1,11.7,24,269
2000,audi,a4,compact,1.8,4,A5,Z,11.4,7.2,9.5,30,218
2000,audi,a4,compact,1.8,4,M5,Z,9.7,6.8,8.4,34,193
2000,audi,a4,compact,2.8,6,A5,Z,13,8.2,10.8,26,248
2000,audi,a4,compact,2.8,6,M5,Z,11.7,7.5,9.8,29,225
2000,audi,a4 quattro,compact,1.8,4,A5,Z,12.1,7.7,10.1,28,232
2000,audi,a4 quattro,compact,1.8,4,M5,Z,10.7,7.5,9.3,30,214
2000,audi,a4 quattro,compact,2.8,6,A5,Z,13.3,8.5,11.1,25,255
2000,audi,a4 quattro,compact,2.8,6,M5,Z,12.7,8.7,10.9,26,251
2000,audi,a6,mid-size,2.8,6,A5,Z,13.4,8.6,11.2,25,258
2000,audi,a6 avant quattro,station wagon: mid-size,2.8,6,A5,Z,13.8,9.1,11.7,24,269
2000,audi,a6 quattro,mid-size,2.7,6,A5,Z,13.6,9,11.5,25,264
2000,audi,a6 quattro,mid-size,2.7,6,M6,Z,13.6,9.1,11.6,24,267
2000,audi,a6 quattro,mid-size,2.8,6,A5,Z,13.8,9.1,11.7,24,269
2000,audi,a6 quattro,mid-size,2.8,6,M5,Z,13,9.2,11.3,25,260
2000,audi,a6 quattro,mid-size,4.2,8,A5,Z,13.9,9.1,11.7,24,269
2000,audi,a8 quattro,mid-size,4.2,8,A5,Z,13.9,9.1,11.7,24,269
2000,audi,s4 quattro,compact,2.7,6,A5,Z,13.6,9,11.5,25,264
2000,audi,s4 quattro,compact,2.7,6,M6,Z,13.6,9.1,11.6,24,267
2000,audi,tt coupe quattro,minicompact,1.8,4,M5,Z,11.6,7.6,9.8,29,225
2000,audi,tt coupe quattro (supercharged),minicompact,1.8,4,M6,Z,11.6,7.7,9.8,29,225
2000,audi,tt roadster,two-seater,1.8,4,M5,Z,10.9,7.3,9.3,30,214
2000,audi,tt roadster quattro (supercharged),two-seater,1.8,4,M6,Z,11.6,7.7,9.8,29,225
2000,bmw,323 convertible,compact,2.5,6,A5,Z,13,8.9,11.2,25,258
2000,bmw,323 convertible,compact,2.5,6,M5,Z,12.4,8.6,10.7,26,246
2000,bmw,323ci,compact,2.5,6,A5,Z,12.3,7.8,10.3,27,237
2000,bmw,323ci,compact,2.5,6,M5,Z,11.5,7.5,9.7,29,223
2000,bmw,323i,compact,2.5,6,A5,Z,12.3,7.8,10.3,27,237
2000,bmw,323i,compact,2.5,6,M5,Z,11.5,7.5,9.7,29,223
2000,bmw,328ci,compact,2.8,6,A5,Z,12.4,7.9,10.4,27,239
2000,bmw,328ci,compact,2.8,6,M5,Z,11.5,7.5,9.7,29,223
2000,bmw,328i,compact,2.8,6,A5,Z,12.4,7.9,10.4,27,239
2000,bmw,328i,compact,2.8,6,M5,Z,11.5,7.5,9.7,29,223
2000,bmw,528i,compact,2.8,6,A4,Z,13,8.4,10.9,26,251
2000,bmw,528i,compact,2.8,6,M5,Z,11.5,7.5,9.7,29,223
2000,bmw,528i touring,station wagon: small,2.8,6,A4,Z,13,8.4,10.9,26,251
2000,bmw,528i touring,station wagon: small,2.8,6,M5,Z,12.9,8.3,10.8,26,248
2000,bmw,540i,compact,4.4,8,A5,Z,13.1,8.8,11.2,25,258
2000,bmw,540i,compact,4.4,8,M6,Z,14.7,9.1,12.2,23,281
2000,bmw,540i touring,station wagon: small,4.4,8,A5,Z,13.9,10.1,12.2,23,281
2000,bmw,740i,mid-size,4.4,8,A5,Z,13.8,9.2,11.7,24,269
2000,bmw,740il,full-size,4.4,8,A5,Z,13.8,9.2,11.7,24,269
2000,bmw,750il,full-size,5.4,12,A5,Z,17.3,10.8,14.4,20,331
2000,bmw,m coupe,two-seater,3.2,6,M5,Z,12.4,8.5,10.6,27,244
2000,bmw,m roadster,minicompact,3.2,6,M5,Z,12.4,8.5,10.6,27,244
2000,bmw,m5,compact,4.9,8,M6,Z,17.7,10.4,14.4,20,331
2000,bmw,x5,suv,4.4,8,A5,Z,13.3,8.6,11.2,25,258
2000,bmw,z3,subcompact,2.5,6,A4,Z,12.5,8.3,10.6,27,244
2000,bmw,z3,subcompact,2.5,6,M5,Z,11.9,8,10.1,28,232
2000,bmw,z3,subcompact,2.8,6,A4,Z,12.4,8.4,10.6,27,244
2000,bmw,z3,subcompact,2.8,6,M5,Z,12.4,8.4,10.6,27,244
2000,bmw,z8,two-seater,4.9,8,M6,Z,17.4,11.1,14.6,19,336
2000,buick,century,mid-size,3.1,6,A4,X,11.6,7.3,9.7,29,223
2000,buick,lesabre,full-size,3.8,6,A4,X,12.3,7.3,10,28,230
2000,buick,park avenue,full-size,3.8,6,A4,X,12.8,7.7,10.5,27,242
2000,buick,park avenue #,full-size,3.8,6,A4,Z,13.5,8,11,26,253
2000,buick,regal,mid-size,3.8,6,A4,X,12,7.4,9.9,29,228
2000,buick,regal #,mid-size,3.8,6,A4,Z,13.5,8,11,26,253
2000,cadillac,catera,mid-size,3,6,A4,Z,13.1,8.8,11.2,25,258
2000,cadillac,deville,full-size,4.6,8,A4,Z,13.9,8.1,11.3,25,260
2000,cadillac,eldorado,mid-size,4.6,8,A4,Z,13.9,8.1,11.3,25,260
2000,cadillac,escalade 4x4,suv,5.7,8,A4,X,19.2,13.4,16.6,17,382
2000,cadillac,seville,mid-size,4.6,8,A4,Z,13.9,8.1,11.3,25,260
2000,chevrolet,astro awd cargo,van: cargo,4.3,6,A4,X,15.3,11.1,13.4,21,308
2000,chevrolet,astro awd passenger,van: passenger,4.3,6,A4,X,15.7,11.4,13.8,20,317
2000,chevrolet,astro cargo,van: cargo,4.3,6,A4,X,14.5,10.8,12.8,22,294
2000,chevrolet,astro passenger,van: passenger,4.3,6,A4,X,15.9,11.9,14.1,20,324
2000,chevrolet,blazer,suv,4.3,6,A4,X,14.5,10.8,12.8,22,294
2000,chevrolet,blazer,suv,4.3,6,M5,X,14.6,9.9,12.5,23,288
2000,chevrolet,blazer 4x4,suv,4.3,6,A4,X,15.2,11.1,13.4,21,308
2000,chevrolet,blazer 4x4,suv,4.3,6,M5,X,16.9,12.4,14.9,19,343
2000,chevrolet,c1500 silverado,pickup truck: standard,4.3,6,A4,X,15.9,11.9,14.1,20,324
2000,chevrolet,c1500 silverado,pickup truck: standard,4.3,6,M5,X,16.7,12.3,14.7,19,338
2000,chevrolet,c1500 silverado,pickup truck: standard,4.8,8,A4,X,14.6,10.4,12.7,22,292
2000,chevrolet,c1500 silverado,pickup truck: standard,4.8,8,M5,X,17.1,11,14.4,20,331
2000,chevrolet,c1500 silverado,pickup truck: standard,5.3,8,A4,X,15,10.8,13.1,22,301
2000,chevrolet,c2500 silverado,pickup truck: standard,5.3,8,A4,X,16.1,12,14.3,20,329
2000,chevrolet,c2500 silverado,pickup truck: standard,6,8,A4,X,19.4,13.6,16.8,17,386
2000,chevrolet,camaro,subcompact,3.8,6,A4,X,12.4,7.5,10.2,28,235
2000,chevrolet,camaro,subcompact,3.8,6,M5,X,12.2,7.1,9.9,29,228
2000,chevrolet,camaro,subcompact,5.7,8,A4,Z,13.8,9.1,11.7,24,269
2000,chevrolet,camaro,subcompact,5.7,8,M6,Z,13.1,8.1,10.8,26,248
2000,chevrolet,cavalier,subcompact,2.2,4,A4,X,10.2,6.9,8.7,32,200
2000,chevrolet,cavalier,subcompact,2.2,4,M5,X,10.8,6.5,8.9,32,205
2000,chevrolet,cavalier,subcompact,2.4,4,A4,X,11,7.4,9.4,30,216
2000,chevrolet,cavalier,subcompact,2.4,4,M5,X,10.7,6.5,8.8,32,202
2000,chevrolet,cavalier bifuel,subcompact,2.2,4,A3,X,10.4,7.5,9.1,31,209
2000,chevrolet,corvette,subcompact,5.7,8,A4,Z,13.9,9.1,11.7,24,269
2000,chevrolet,corvette,subcompact,5.7,8,M6,Z,12.8,7.9,10.6,27,244
2000,chevrolet,g15/g25 chevy van,van: cargo,4.3,6,A4,X,16,11.9,14.2,20,327
2000,chevrolet,g15/g25 chevy van,van: cargo,5,8,A4,X,16.4,11.8,14.3,20,329
2000,chevrolet,g15/g25 chevy van,van: cargo,5.7,8,A4,X,17.4,12.7,15.3,18,352
2000,chevrolet,g1500/g2500 chevy express,van: passenger,4.3,6,A4,X,16.5,12.2,14.6,19,336
2000,chevrolet,g1500/g2500 chevy express,van: passenger,5,8,A4,X,16.7,12.3,14.7,19,338
2000,chevrolet,g1500/g2500 chevy express,van: passenger,5.7,8,A4,X,18.7,13.6,16.4,17,377
2000,chevrolet,impala,full-size,3.4,6,A4,X,12.1,7.2,9.9,29,228
2000,chevrolet,impala,full-size,3.8,6,A4,X,12,7.4,9.9,29,228
2000,chevrolet,k1500 silverado 4x4,pickup truck: standard,4.3,6,A4,X,15.3,11.1,13.4,21,308
2000,chevrolet,k1500 silverado 4x4,pickup truck: standard,4.3,6,M5,X,16.9,12.4,14.9,19,343
2000,chevrolet,k1500 silverado 4x4,pickup truck: standard,4.8,8,A4,X,15.6,12,14,20,322
2000,chevrolet,k1500 silverado 4x4,pickup truck: standard,4.8,8,M5,X,18.2,12.5,15.6,18,359
2000,chevrolet,k1500 silverado 4x4,pickup truck: standard,5.3,8,A4,X,16.2,12.3,14.4,20,331
2000,chevrolet,k1500 tahoe 4x4,suv,5.7,8,A4,X,19.1,13.6,16.6,17,382
